"negative","chelsea","Can't wait for Sat watch the blues smash that Chelsea shite then I'll be smashing it @versatiliy @24KitchenStreet get down after game people"
"positive","bolton","I wish I was in Bolton tonight :("
"negative","microsoft","How #Apple eclipsed #Microsoft http://t.co/KxboqsKj"
"positive","ibm","Yes, Mark Zuckerberg started Facebook at 19. But Charles Flint launched IBM at 61. While Hollywood may love the... http://fb.me/55j8FOlDb "
"positive","obama","@NYFab Happy graduations!  Say hi to Obama for us!!  (he's a bowler)"
"neutral","google","#Android #Google Samsung's Galaxy Nexus - It's Official, It's Headed For Global Availability, And It's... http://t.co/TI9Hy8LW #DhilipSiva"
"positive","windows 10","Intel shows off waking Windows 10 machine with voice command: Intel Corporation (NASDAQ:INTC) may have sidelin... http://bit.ly/1U0RJVP "
"positive","tiger woods","We may just have the next Tiger Woods right here in Ghana! Marvels Mini-Golf Junior Tournament will be happening on the 18th of September!"
"negative","conor mcgregor","Never mind about Conor McGregor it's wwe Battleground next Sunday night LIVE @FM104 @WardyFM104"
"negative","apple","if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?"
"negative","apple","@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt"
"positive","justin","november 13th is gonna be a great day bc we're finally gonna hear the masterpiece that justin created"
"negative","twitter","#Twitter.... Side Affects include: Procrastination, No Sleep, Unable to Focus on ANYTHING, Subtweeting, RT, TT, and Low Batteries"
"positive","@microsoft","Thank you to @Microsoft for inviting us to join them at the #IBCShow in Amsterdam next Thursday - http://bit.ly/1T6abMc "
"negative","amazon","ordered my back pack off of Amazon 3 weeks ago and it turns out they lost my package and school starts tomorrow #sick"
"positive","michael jackson","will be resuming his Artist of the Week selections on Tuesday. His featured artist at that time will be Michael Jackson."
"neutral","baseball","NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx"
"positive","chelsea","chelsea just uploaded the CUTEST video of us from sunday omfg"
"neutral","microsoft","Microsoft turns your body into a touchscreen http://t.co/j1T6kHgP #Microsoft"
"neutral","microsoft","Creating #Pareto charts using #Microsoft #Excel http://t.co/B6rYS5gX"
"positive","ted 2","Mark Wahlberg is back as the ultimate best buddy John Bennett in TED 2 (Opens July 22) http://fb.me/7ot9yjYmf "
"negative","democrats","Today *very* rare day when Democrats will get healthier on their Club for Growth scorecards than most Republicans."
"positive","disneyland","That awkward moment when @jccaylen is in Disneyland and you're not.. You better be there when I go in November hint hint"
"positive","galaxy note","Galaxy Note 5 and Galaxy S6 edge+ certified in Malaysia ahead of it's official launch http://megapowertech-malaysia.blogspot.com/2015/08/samsungs-upcoming-galaxy-note-5-to-go-on-sale-malaysia-by-september-5.html … pic.twitter.com/TAYeKlyRzd"
"positive","justin","I was 8 turning 9 in the 4th grade when I started to support Justin. Now Im a freshman in highschool still loving him to this day Time flies"
"negative","sarah palin","I'd say this makes me think of Sarah Palin's I can see Russia moment, but that's basically the whole GOP. http://www.theguardian.com/us-news/2015/aug/30/scott-walker-canada-border-wall-immigration-terrorists?CMP=fb_gu …"
"negative","david cameron","David Cameron's statement on camera on Thursday 03 September 2015: he will take in 'more' of the refugees: was he speaking TO TV Cameras?"
"positive","magic mike xxl","Woop! Can't wait to see Magic Mike XXL this Friday with the girls @KLB1710 @LaurenNatalie"
"positive","bernie sanders","Today, September 8th, is Bernie Sanders' birthday. He's 74. Love him or hate him, I think you have to give him mad props. Happy Birthday B!"
"positive","mariah carey","I'm a Mariah Carey fan kaya may high standards ako. Elha's quite good altho it's not a whistle tone. DARREN Wows TVKFinals"
"neutral","abs-cbn","At noon today, you'll know why #YouCount tune in to ABS-CBN to see the 1st #TVC of the Biggest & d' Brightest #BPO Employer in PH #CONVERGYS"
"negative","night at the museum","Back from seeing 'Star Trek' and 'Night at the Museum.' 'Star Trek' was amazing, but 'Night at the Museum' was; eh."
